Task ID,Category,Priority,Status,Project,Autonomy,Owner,Title,Notes
TECH-142,TECH,P2 - Medium,Backlog,Environment & Config,Possibly Safe,,Fix plist flagged as non-standard,"Why: Gateway log shows 'Service config looks out of date'; custom bash wrapper plist is non-standard; openclaw doctor --repair would fix but loses account-switching
Next step: Investigate how to make plist standard while preserving gateway-env.sh sourcing
Dependencies: TECH-025
Effort: M
Owner: nyx"
TECH-103,TECH,P3 - Low,Backlog,Build & Deploy,Possibly Safe,,Set up OpenClaw installation for Mom,"Why: Future simplified/locked-down installation for elderly family member support
Next step: Create template from Nyx installation once stable
Dependencies: TECH-004
Effort: XL
Owner: arielle"
TECH-091,TECH,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Fix iMessage rpc not ready error on gateway startup,"Why: iMessage channel configured but imsg binary not found - causes repeated errors in logs
Next step: Install or configure imsg binary for iMessage integration
Effort: S
Owner: clem"
BIZ-025,BIZ,P1 - High,Backlog,Web & Hosting,Possibly Safe,,Resolve Netlify build credits - used up for the month,"Why: Site won't auto-deploy until credits reset; blocks website updates
Next step: Check Netlify billing/credit reset date; consider upgrading or alternative
Effort: S
Owner: arielle"
BIZ-023,BIZ,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Resolve GitHub email issue - arielle@socalaiautomation.com shows 'already in use',"Why: Work email can't be added to GitHub; may need support ticket
Next step: Contact GitHub support about the duplicate email issue
Effort: S
Owner: arielle"
TECH-069,TECH,P1 - High,In Progress,Build & Deploy,Possibly Safe,,Software update automation,"Why: Update all systems: OpenClaw skills/patches/deepclaw/apps and eventually macOS Tahoe
Next step: Update OpenClaw to latest version; research macOS Tahoe changes
Effort: L
Owner: nyx"
TECH-109,TECH,P2 - Medium,Backlog,AI & Models,Possibly Safe,,Cancel OpenAI subscription after evaluation,"Why: Want to cancel ChatGPT Plus/Codex sub after evaluating alternatives
Next step: Evaluate OpenAI performance; cancel subscription if not needed
Dependencies: TECH-057
Effort: XS
Owner: arielle"
TECH-047,TECH,P3 - Low,In Progress,Session Management,Possibly Safe,,Implement Nyx heartbeat feature,"Why: Give Nyx awareness of uptime/downtime cycles; proactive monitoring; autonomous background work
Next step: Configure heartbeat with task checklist; consider model cost (Haiku vs Opus); decouple from identity load
Effort: M
Owner: nyx"
PERS-015,PERS,P3 - Low,Backlog,Health - Medical & HRT,Possibly Safe,,Shop around for health insurance to replace Molina,"Why: Unhappy with Molina coverage; retention team calling
Next step: Research alternatives during open enrollment or qualifying life event
Effort: M
Owner: arielle"
BIZ-021,BIZ,P3 - Low,Backlog,Business Ops,Possibly Safe,,Process Pride business cards from last summer,"Why: Unprocessed leads from Pride 2025; some may still be viable with website as intro
Next step: Scan and process cards; identify still-viable contacts
Effort: M
Owner: arielle"
TECH-093,TECH,P1 - High,Backlog,Voice Pipeline,Possibly Safe,,Fix voice calling identity (DeepClaw connects to generic Claude not Nyx),"Why: Phone calls get generic Claude Code instead of Nyx with full context
Next step: Configure DeepClaw to pass Nyx project context/system prompt when routing to OpenClaw gateway
Dependencies: TECH-092
Effort: M
Owner: clem"
TECH-028,TECH,P3 - Low,In Progress,Environment & Config,Possibly Safe,,Configure MacBook Air sleep settings to keep gateway running,"Why: Gateway goes down when computer sleeps; need reliable always-on for Nyx access from phone
Next step: Verify and maintain 'do not sleep' settings on MacBook Air
Effort: XS
Owner: arielle"
TECH-081,TECH,P2 - Medium,Backlog,CLI & Interface,Possibly Safe,,Implement nyx-actions-log for claude-cli provider,"Why: Plugin can't intercept tool calls when using claude-cli because it's a passthrough
Next step: Find correct agent-events path in v2026.2.9 or use Claude Code's own hooks
Effort: L
Owner: nyx"
TECH-067,TECH,P1 - High,Backlog,Session Management,Possibly Safe,,Build heartbeat gap detection,"Why: If heartbeats stop for >10 min that should be an alert
Next step: Add heartbeat gap detection to auto-recovery system
Dependencies: TECH-066
Effort: M
Owner: nyx"
TECH-095,TECH,P1 - High,Backlog,Communication Channels,Possibly Safe,,Enable SMS/iMessage reading and sending,"Why: Already supported in OpenClaw but not yet configured/tested for Nyx
Next step: Test iMessage channel configuration and fix imsg rpc not ready error
Effort: S
Owner: clem"
PERS-003,PERS,P1 - High,In Progress,Business Ops,Possibly Safe,,Follow up with Legal Aid Society of San Diego,"Why: Case assigned Feb 5; no update since; submitted web form and full intake application
Next step: Follow up on case status
Effort: XS
Owner: arielle"
BIZ-016,BIZ,P1 - High,Backlog,Communication Channels,Possibly Safe,,Email Club X board with trans community outreach ideas,"Why: Create greater trans <> Club X connection within a week
Next step: Draft email with ideas: queer workshops; QT-coded branding; QT-Kink 101 workshops; review draft at memory/club-x-email-draft.md
Effort: M
Owner: arielle"
TECH-080,TECH,P2 - Medium,Backlog,Sub-Agent System,Safe,,Investigate why Claire/Clem agents not loading in gateway,"Why: Agents exist on disk but openclaw agents list doesn't show them as loaded
Next step: Check config validation errors; verify agent model backend requirements
Effort: M
Owner: nyx"
TECH-005,TECH,P2 - Medium,Backlog,Build & Deploy,Safe,,Check macOS version compatibility on 2015 MacBook Pro,"Why: Node 22 LTS requires macOS 11 Big Sur or later; 2015 MBP may be stuck on older macOS
Next step: Check max supported macOS for 2015 MacBook Pro model
Effort: XS
Owner: arielle"
PERS-050,PERS,P2 - Medium,Backlog,Shopping & Errands,Safe,,Tidy computer desk area and prep for two computers,"Why: Need workspace ready for both MacBook Air and 2015 MBP
Next step: Clear desk area before TB2 cable arrives
Effort: S
Owner: arielle"
TECH-084,TECH,P1 - High,Backlog,Voice Pipeline,Possibly Safe,,Commit OpenClaw voice-call extension deletions,"Why: Local deletion of extensions/voice-call/ from DeepClaw migration needs proper documentation and commit
Next step: Document intentional deletion; commit to appropriate branch
Effort: S
Owner: nyx"
TECH-113,TECH,P0 - Critical,Backlog,Memory & Identity,Safe,,Debug why USER.md doesn't auto-load at gateway startup,"Why: USER.md/MEMORY.md not loading affects session quality and personality coherence; wrong path in system message
Next step: Correct auto-load path in system message or move files to expected location; verify with gateway restart
Effort: M
Owner: nyx"
TECH-140,TECH,P1 - High,In Progress,Sub-Agent System,Possibly Safe,,Set up Nyx-Cowork async communication via shared directory,"Why: Cowork (Claude Desktop beta) has file system RW access; can collaborate with Nyx via shared directory without Arielle as relay
Next step: Created ~/.openclaw/workspace/cowork-nyx-clem/ directory; define file format and update frequency; establish task assignment protocol
Effort: M
Owner: nyx"
TECH-132,TECH,P1 - High,Backlog,Environment & Config,Possibly Safe,,Fix launchctl usage pattern,"Why: Using bootout (permanent unload) instead of stop/start; should use launchctl stop gui/$UID/ai.openclaw.gateway; see Issue #3780
Next step: Change all gateway stop commands to use launchctl stop instead of bootout; update scripts and documentation
Effort: S
Owner: nyx"
